map_name,thumbnail_location,map_variant,track_surface,track_length,server_name
Crash Canyon,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\crash_canyon_main_circuit.webp,Main Circuit,100% gravel ,1010,crash_canyon_main_circuit
Deathloop,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\loop.webp,Main Circuit,78% tarmac 22% wood,1180,loop
Devil's Canyon,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\crm02_1.webp,Race Track,100% gravel ,2620,crm02_1
Dirt Devil Stadium,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\triangle_r1.webp,Dirt Speedway,100% gravel ,992,triangle_r1
Drytown Desert Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields08_1.webp,Main Circuit,91% gravel 9% tarmac,960,fields08_1
Drytown Desert Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields08_1_rev.webp,Main Circuit Reverse,91% gravel 9% tarmac,960,fields08_1_rev
Eagles Peak Motorpark,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields13_1.webp,Racing Track,37% gravel 63% tarmac,2010,fields13_1
Eagles Peak Motorpark,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields13_1_rev.webp,Racing Track Reverse,37% gravel 63% tarmac,2010,fields13_1_rev
Espedalen Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac3_main_circuit.webp,Main Circuit,100% tarmac ,2280,tarmac3_main_circuit
Espedalen Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac3_main_circuit_rev.webp,Main Circuit Reverse,100% tarmac ,2280,tarmac3_main_circuit_rev
Espedalen Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac3_short_circuit.webp,Short Circuit,100% tarmac ,1050,tarmac3_short_circuit
Espedalen Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac3_short_circuit_rev.webp,Short Circuit Reverse,100% tarmac ,1050,tarmac3_short_circuit_rev
FinnCross Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed1_main_circuit_rev.webp,Main Circuit Reverse,27% gravel 73% tarmac,1040,mixed1_main_circuit_rev
FinnCross Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed1_main_circuit.webp,Main Circuit,36% gravel 64% tarmac,944,mixed1_main_circuit
Fire Rock Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac1_main_circuit.webp,Main Circuit,100% tarmac ,1960,tarmac1_main_circuit
Fire Rock Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac1_main_circuit_rev.webp,Main Circuit Reverse,100% tarmac ,1960,tarmac1_main_circuit_rev
Fire Rock Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac1_short_circuit.webp,Short Circuit,14% gravel 86% tarmac,1540,tarmac1_short_circuit
Fire Rock Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac1_short_circuit_rev.webp,Short Circuit Reverse,14% gravel 86% tarmac,1540,tarmac1_short_circuit_rev
Firwood Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed7_r2.webp,Rally Circuit,55% gravel 45% tarmac,1520,mixed7_r2
Firwood Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed7_r2_rev.webp,Rally Circuit Reverse,55% gravel 45% tarmac,1520,mixed7_r2_rev
Firwood Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed7_r1.webp,Main Circuit,55% gravel 45% tarmac,1460,mixed7_r1
Firwood Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed7_r1_rev.webp,Main Circuit Reverse,55% gravel 45% tarmac,1460,mixed7_r1_rev
Firwood Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed7_r3.webp,Short Circuit,39% gravel 61% tarmac,1090,mixed7_r3
Firwood Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed7_r3_rev.webp,Short Circuit Reverse,39% gravel 61% tarmac,1090,mixed7_r3_rev
Hellride,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\urban06.webp,Main Circuit,78% tarmac 22% wood,1610,urban06
Hillstreet Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\urban08_1.webp,Race Track,100% tarmac ,1710,urban08_1
Hillstreet Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\urban08_1_rev.webp,Race Track Reverse,100% tarmac ,1710,urban08_1_rev
Hilltop Stadium,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\speedway1_figure_8.webp,Figure 8,100% tarmac ,1010,speedway1_figure_8
Hilltop Stadium,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\speedway1_oval.webp,Oval,100% tarmac ,820,speedway1_oval
Kingston Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields12_2.webp,Figure 8,20% dirt 80% tarmac,469,fields12_2
Kingston Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields12_1.webp,Asphalt Oval,100% tarmac ,443,fields12_1
Kingston Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields12_1_rev.webp,Asphalt Oval Reverse,100% tarmac ,443,fields12_1_rev
Maasten Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed2_main_circuit.webp,Main Circuit,42% gravel 58% tarmac,1050,mixed2_main_circuit
Maasten Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed2_main_circuit_rev.webp,Main Circuit Reverse,42% gravel 58% tarmac,1050,mixed2_main_circuit_rev
Madman Stadium,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\bigstadium_figure_8.webp,Figure 8,100% tarmac ,454,bigstadium_figure_8
Midwest Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\gravel1_main_loop.webp,Main Circuit,100% gravel ,1330,gravel1_main_loop
Midwest Motocenter,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\gravel1_main_loop_rev.webp,Main Circuit Reverse,100% gravel ,1330,gravel1_main_loop_rev
Motorcity Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac2_main_circuit.webp,Main Circuit,100% tarmac ,2940,tarmac2_main_circuit
Motorcity Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac2_main_circuit_rev.webp,Main Circuit Reverse,100% tarmac ,2940,tarmac2_main_circuit_rev
Motorcity Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\tarmac2_main_circuit_tourney.webp,Trophy Circuit,100% tarmac ,2940,tarmac2_main_circuit_tourney
Mudford Motorpark,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields10_1.webp,Mud Oval,100% gravel ,383,fields10_1
Northfolk Ring,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed8_r1.webp,Main Circuit,55% gravel 45% tarmac,1140,mixed8_r1
Northfolk Ring,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed8_r2.webp,Open Circuit,58% gravel 42% tarmac,1110,mixed8_r2
Northfolk Ring,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed8_r3_rev.webp,Main Circuit Reverse,56% gravel 44% tarmac,1110,mixed8_r3_rev
Northland Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed5_outer_loop.webp,Outer Route,58% gravel 42% tarmac,2090,mixed5_outer_loop
Northland Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed5_outer_loop_rev.webp,Outer Route Reverse,58% gravel 42% tarmac,2090,mixed5_outer_loop_rev
Northland Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed5_inner_loop.webp,Inner Route,58% gravel 42% tarmac,2000,mixed5_inner_loop
Northland Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed5_inner_loop_rev.webp,Inner Route Reverse,58% gravel 42% tarmac,2000,mixed5_inner_loop_rev
Northland Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed5_free_route.webp,Free Route,68% gravel 32% tarmac,2000,mixed5_free_route
Pinehills Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed3_r3.webp,Rally Circuit,58% gravel 42% tarmac,2240,mixed3_r3
Pinehills Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed3_r3_rev.webp,Rally Circuit Reverse,58% gravel 42% tarmac,2240,mixed3_r3_rev
Pinehills Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed3_long_loop.webp,Main Circuit,48% gravel 52% tarmac,1810,mixed3_long_loop
Pinehills Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed3_long_loop_rev.webp,Main Circuit Reverse,48% gravel 52% tarmac,1810,mixed3_long_loop_rev
Pinehills Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed3_short_loop.webp,Short Circuit,46% gravel 54% tarmac,1340,mixed3_short_loop
Pinehills Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed3_short_loop_rev.webp,Short Circuit Reverse,46% gravel 54% tarmac,1340,mixed3_short_loop_rev
Rally Trophy,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\rt01_1.webp,Special Stage,100% gravel ,11980,rt01_1
Rattlesnake Racepark,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields14_1.webp,Main Circuit,100% gravel ,1670,fields14_1
Rattlesnake Racepark,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields14_2.webp,Main Circuit Reverse,100% gravel ,1670,fields14_2
Rockfield Roughspot,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\fields09_1.webp,Dirt Oval,100% gravel ,848,fields09_1
Rosenheim Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed4_main_circuit.webp,Main Circuit,61% gravel 39% tarmac,1390,mixed4_main_circuit
Rosenheim Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\mixed4_main_circuit_rev.webp,Main Circuit Reverse,61% gravel 39% tarmac,1390,mixed4_main_circuit_rev
Sandstone Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit1_alt_loop.webp,Alt Route,95% gravel 5% tarmac,2540,sandpit1_alt_loop
Sandstone Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit1_alt_loop_rev.webp,Alt Route Reverse,95% gravel 5% tarmac,2540,sandpit1_alt_loop_rev
Sandstone Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit1_long_loop.webp,Main Route,94% gravel 6% tarmac,2460,sandpit1_long_loop
Sandstone Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit1_long_loop_rev.webp,Main Route Reverse,94% gravel 6% tarmac,2460,sandpit1_long_loop_rev
Sandstone Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit1_short_loop.webp,Short Route,91% gravel 9% tarmac,1600,sandpit1_short_loop
Sandstone Raceway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit1_short_loop_rev.webp,Short Route Reverse,91% gravel 9% tarmac,1600,sandpit1_short_loop_rev
Savolax Sandpit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit2_full_circuit.webp,Main Route,74% gravel 26% tarmac,2260,sandpit2_full_circuit
Savolax Sandpit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit2_full_circuit_rev.webp,Main Route Reverse,74% gravel 26% tarmac,2260,sandpit2_full_circuit_rev
Savolax Sandpit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit2_2.webp,Short Route,82% gravel 18% tarmac,1080,sandpit2_2
Savolax Sandpit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\sandpit2_2_rev.webp,Short Route Reverse,82% gravel 18% tarmac,1080,sandpit2_2_rev
Torsdalen Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest13_2.webp,Short Circuit,100% tarmac ,1030,forest13_2
Torsdalen Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest13_2_rev.webp,Short Circuit Reverse,100% tarmac ,1030,forest13_2_rev
Torsdalen Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest13_1.webp,Main Circuit,100% tarmac ,873,forest13_1
Torsdalen Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest13_1_rev.webp,Main Circuit Reverse,100% tarmac ,873,forest13_1_rev
Tribend Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest12_1_rev.webp,Reverse Circuit,100% tarmac ,876,forest12_1_rev
Tribend Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest12_1.webp,Main Circuit,100% tarmac ,873,forest12_1
Tribend Speedway,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest12_2.webp,Wild Circuit,100% tarmac ,873,forest12_2
Vale Falls Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest11_1_rev.webp,Main Circuit Reverse,72% gravel 28% tarmac,939,forest11_1_rev
Vale Falls Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest11_1.webp,Main Circuit,72% gravel 28% tarmac,913,forest11_1
Vale Falls Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest11_2_rev.webp,Short Circuit Reverse,62% gravel 38% tarmac,809,forest11_2_rev
Vale Falls Circuit,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\forest11_2.webp,Short Circuit,62% gravel 38% tarmac,789,forest11_2
Wrecknado,C:\Users\alext\source\repos\Misc\WreckfestTrackSelector\Thumbnails\urban09_1.webp,Main Circuit,100% tarmac ,778,urban09_1
